Subsystem	Name	Role	Module1	Module2	Module3	Phenotype
Thiamin HMP	ThiN	Thiamin pyrophosphokinase (EC 2.7.6.2)	Vitamins, cofactors and micronutrients metabolism	Thiamine metabolism	Thiamine pyrophosphate biosynthesis	B1
Thiamin HMP	ThiL	Thiamine-monophosphate kinase (EC 2.7.4.16)	Vitamins, cofactors and micronutrients metabolism	Thiamine metabolism	Thiamine pyrophosphate biosynthesis	B1
Thiamin HMP	ThiK	Thiamine kinase (EC 2.7.1.89)	Vitamins, cofactors and micronutrients metabolism	Thiamine metabolism	Thiamine pyrophosphate biosynthesis	B1
Thiamin HMP	ThiK3	Putative thiamine kinase, YkoEDC-associated, THI-regulated	Vitamins, cofactors and micronutrients metabolism	Thiamine metabolism	Thiamine pyrophosphate biosynthesis	B1
Thiamin HMP	TMPase	ThMPase type I predicted	Vitamins, cofactors and micronutrients metabolism	Thiamine metabolism	Thiamine pyrophosphate biosynthesis	B1
Thiamin HMP	OarX	Thiamin-related 3-oxoacyl-[acyl-carrier protein] reductase OarX	Vitamins, cofactors and micronutrients metabolism	Thiamine metabolism	Thiamine pyrophosphate biosynthesis	B1
Thiamin HMP	For	Thiamin-related FMN-dependent hydroxylase family protein For	Vitamins, cofactors and micronutrients metabolism	Thiamine metabolism	Thiamine pyrophosphate biosynthesis	B1
Riboflavin HMP	RibA	GTP cyclohydrolase II (EC 3.5.4.25)	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin biosynthesis	B2
Riboflavin HMP	RibDd	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin biosynthesis	B2
Riboflavin HMP	RibDr	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin biosynthesis	B2
Riboflavin HMP	RibH	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin biosynthesis	B2
Riboflavin HMP	RibB	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin biosynthesis	B2
Riboflavin HMP	RibE	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin biosynthesis	B2
Riboflavin HMP	RibU	Substrate-specific component RibU of riboflavin ECF transporter	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin uptake	B2
Riboflavin HMP	PnuX	Riboflavin transporter PnuX	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin uptake	B2
Riboflavin HMP	RibZ	Riboflavin transporter, COG2814 family	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin uptake	B2
Riboflavin HMP	ImpX	Predicted riboflavin transporter, EamA family	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin uptake	B2
Riboflavin HMP	RibX	Predicted riboflavin ABC transporter, transmembrane component	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin uptake	B2
Riboflavin HMP	RibY	Predicted riboflavin ABC transporter, substrate-binding component	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin uptake	B2
Riboflavin HMP	RibN	Riboflavin transporter RibN	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin uptake	B2
Riboflavin HMP	RfnT	Riboflavin transporter RfnT, MFS family	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin uptake	B2
Riboflavin HMP	RibF	Riboflavin kinase (EC 2.7.1.26)	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin biosynthesis	B2
Riboflavin HMP	EcfA_B2	Duplicated ATPase component of energizing module of riboflavin ECF transporter	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin uptake	B2
Riboflavin HMP	EcfT_B2	Transmembrane component of energizing module of riboflavin ECF transporter	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin uptake	B2
Riboflavin HMP	BrbF	2-amino-5-formylamino-6-ribosylaminopyrimidin-4(3H)-one 5'-monophosphate deformylase (EC 3.5.1.102), bacterial	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin biosynthesis	B2
Riboflavin HMP	PyrD	2,5-diamino-6-ribitylamino-pyrimidinone 5-phosphate deaminase, archaeal (EC 3.5.4.-)	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin biosynthesis	B2
Riboflavin HMP	RibL	FMN adenylyltransferase, type 3 archaeal (EC 2.7.7.2)	Vitamins, cofactors and micronutrients metabolism	Riboflavin metabolism	Riboflavin biosynthesis	B2
NAD Niacin HMP	NadB	L-aspartate oxidase (EC 1.4.3.16)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NadB2	L-Aspartate dehydrogenase (EC 1.4.1.21)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NadA	Quinolinate synthetase (EC 2.5.1.72)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NadC	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NadD	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NadE	NAD synthetase (EC 6.3.1.5)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NadV	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NadM	Nicotinamide-nucleotide adenylyltransferase, NadM family (EC 2.7.7.1)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	PncB1	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	PncB2	Nicotinate phosphoribosyltransferase (EC 6.3.4.21)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	PncA	Nicotinamidase (EC 3.5.1.19)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NadR_AT	Nicotinamide-nucleotide adenylyltransferase, NadR family (EC 2.7.7.1)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NadR_RK	Ribosylnicotinamide kinase (EC 2.7.1.22)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NiaP	Niacin transporter NiaP	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	Niacin or NAD precursor uptake	B3
NAD Niacin HMP	NiaX	Substrate-specific component NiaX of predicted niacin ECF transporter	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	Niacin or NAD precursor uptake	B3
NAD Niacin HMP	PnuC	Ribosyl nicotinamide transporter, PnuC-like	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	Niacin or NAD precursor uptake	B3
NAD Niacin HMP	NiaY	Predicted nicotinate-regulated transporter BH3254	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	Niacin or NAD precursor uptake	B3
NAD Niacin HMP	NrtR	Nudix-related transcriptional regulator NrtR	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NiaR	Transcriptional repressor for NAD biosynthesis in gram-positives	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	TDO	Tryptophan 2,3-dioxygenase (EC 1.13.11.11)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	KFA_b	Kynurenine formamidase, bacterial (EC 3.5.1.9)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	KMO	Kynurenine 3-monooxygenase (EC 1.14.13.9)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	KYN	Kynureninase (EC 3.7.1.3)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	HAD	3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	KFA_e	Kynurenine formamidase (EC 3.5.1.9)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	PncC	Nicotinamide-nucleotide amidase (EC 3.5.1.42)	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
NAD Niacin HMP	NadR_HTH	NadR transcriptional regulator	Vitamins, cofactors and micronutrients metabolism	NAD/NADP metabolism	NAD/NADP biosynthesis	B3
CoA Pantothenate HMP	PanD	Aspartate 1-decarboxylase (EC 4.1.1.11)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	PanP	PLP-dependent aspartate 1-decarboxylase, PanP (EC 4.1.1.15)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	PanB	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	PanG	Ketopantoate reductase PanG (EC 1.1.1.169)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	PanE	2-dehydropantoate 2-reductase (EC 1.1.1.169)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	IlvC	Ketol-acid reductoisomerase (NADP(+)) (EC 1.1.1.86)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	PanC	Pantoate--beta-alanine ligase (EC 6.3.2.1)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	CoaA	Pantothenate kinase (EC 2.7.1.33)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	CoaX	Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	CoaW	Pantothenate kinase type II, eukaryotic (EC 2.7.1.33)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	CoaB	Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	CoaC	Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	CoaD	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	CoaE	Dephospho-CoA kinase (EC 2.7.1.24)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Coenzyme A biosynthesis	B5
CoA Pantothenate HMP	PanT	Substrate-specific component PanT of predicted pantothenate ECF transporter	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Pantothenate or precursor uptake	B5
CoA Pantothenate HMP	PanF	Pantothenate:Na+ symporter (TC 2.A.21.1.1)	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Pantothenate or precursor uptake	B5
CoA Pantothenate HMP	PanU	Substrate-specific component PanU of pantothenate ECF transporter	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Pantothenate or precursor uptake	B5
CoA Pantothenate HMP	PanM	ATPase component PanM of energizing module of pantothenate ECF transporter	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Pantothenate or precursor uptake	B5
CoA Pantothenate HMP	PanN	Transmembrane component PanN of energizing module of pantothenate ECF transporter	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Pantothenate or precursor uptake	B5
CoA Pantothenate HMP	PanS	Pantothenate precursors transporter PanS	Vitamins, cofactors and micronutrients metabolism	Coenzyme A metabolism	Pantothenate or precursor uptake	B5
Pyridoxin HMP	PdxS	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), synthase subunit (EC 4.3.3.6)	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal phosphate biosynthesis	B6
Pyridoxin HMP	PdxT	Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), glutaminase subunit (EC 4.3.3.6)	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal phosphate biosynthesis	B6
Pyridoxin HMP	PdxA	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal phosphate biosynthesis	B6
Pyridoxin HMP	PdxJ	Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal phosphate biosynthesis	B6
Pyridoxin HMP	PdxK	Pyridoxal kinase (EC 2.7.1.35)	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal phosphate biosynthesis	B6
Pyridoxin HMP	PdxU1	Substrate-specific component PdxT of predicted pyridoxine ECF transporter	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal uptake	B6
Pyridoxin HMP	PdxU2	Substrate-specific component PdxU2 of predicted pyridoxin-related ECF transporter	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal uptake	B6
Pyridoxin HMP	PdxK2	Novel pyridoxal kinase, thiD family (EC 2.7.1.35)	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal phosphate biosynthesis	B6
Pyridoxin HMP	PdxR	Predicted transcriptional regulator of pyridoxine metabolism	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal phosphate biosynthesis	B6
Pyridoxin HMP	PdxU	Substrate-specific component PdxU of predicted pyridoxine ECF transporter	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal uptake	B6
Pyridoxin HMP	YdcO	Predicted pyridoxine transporter YdcO, BenE family	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal uptake	B6
Pyridoxin HMP	EcfT_B6	Transmembrane component of energizing module of predicted pyridoxine-related ECF transporter	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal uptake	B6
Pyridoxin HMP	EcfA_B6	Duplicated ATPase component of energizing module of predicted pyridoxine-related ECF transporter	Vitamins, cofactors and micronutrients metabolism	Vitamin B6 metabolism	Pyridoxine and pyridoxal uptake	B6
Biotin HMP	BioF	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioA	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioD	Dethiobiotin synthase BioD (EC 6.3.3.3)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioB	Biotin synthase (EC 2.8.1.6)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioC	Malonyl-[acyl-carrier protein] O-methyltransferase (EC 2.1.1.197)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioG	Pimeloyl-[acyl-carrier protein] methyl ester esterase BioG (EC 3.1.1.85)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioH	Pimeloyl-[acyl-carrier protein] methyl ester esterase BioH (EC 3.1.1.85)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioZ	Pimeloyl-[acyl-carrier protein] methyl ester esterase BioZ (EC 3.1.1.85)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioV	Pimeloyl-[acyl-carrier protein] methyl ester esterase BioV (EC 3.1.1.85)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioY	Substrate-specific component BioY of biotin ECF transporter	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin uptake	B7
Biotin HMP	BioN	Transmembrane component BioN of energizing module of biotin ECF transporter	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin uptake	B7
Biotin HMP	BioM	ATPase component BioM of energizing module of biotin ECF transporter	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin uptake	B7
Biotin HMP	BioW	Pimeloyl-CoA synthase (EC 6.2.1.14)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioP	Biotin transporter BioP, DMT family	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin uptake	B7
Biotin HMP	BirA	Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Biotin HMP	BioU	Predicted biotin regulator in Bacteroides	Vitamins, cofactors and micronutrients metabolism	Biotin metabolism	Biotin biosynthesis	B7
Folate HMP	FolE1	GTP cyclohydrolase I (EC 3.5.4.16) type 1	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolE2	GTP cyclohydrolase I (EC 3.5.4.16) type 2	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolQ	Dihydroneopterin triphosphate pyrophosphohydolase	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolQ2	Dihydroneopterin triphosphate pyrophosphohydrolase type 2	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolQ3	Putative DHNTP pyrophosphatase	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolB2	Folate biosynthesis protein PTPS-III, catalyzes a reaction that bypasses dihydroneopterin aldolase (FolB)	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolB	Dihydroneopterin aldolase (EC 4.1.2.25)	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolP	Dihydropteroate synthase (EC 2.5.1.15)	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolA	Dihydrofolate reductase (EC 1.5.1.3)	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolM	FolM Alternative dihydrofolate reductase 1	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolA2	Alternative dihydrofolate reductase 2	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolA3	Alternative dihydrofolate reductase 3	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolC	Dihydrofolate synthase (EC 6.3.2.12)	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	PabA	Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	PabB	Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	PabC	Aminodeoxychorismate lyase (EC 4.1.3.38)	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
Folate HMP	FolT	Substrate-specific component FolT of folate ECF transporter	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate uptake	B9
Folate HMP	PabX	hypothetical protein linked to PabC	Vitamins, cofactors and micronutrients metabolism	Folate metabolism	Folate biosynthesis	B9
B12 Cobalamin HMP	CnoA	Predicted cobalt ABC transporter, periplasmic substrate-binding component CnoA	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CnoB	Predicted cobalt ABC transporter, permease protein CnoB	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CnoD	Predicted cobalt ABC transporter, ATP-binding protein CnoD	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CnoC	Predicted cobalt ABC transporter, permease protein CnoC	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CbtF	Predicted cobalt ABC transporter periplasmic component	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CbtA	Predicted cobalt transporter CbtA	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CbtC	Predicted cobalt transporter CbtC	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CbtD	Predicted cobalt transporter in Bacteroides_Porphyromonas	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CbtG	Predicted cobalt transporter in Mycobacteria	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CbtX	Predicted cobalt transporter in sulfate-reducing delta-proteobacteria	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CbiM	Substrate-specific component CbiM of cobalt ECF transporter	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CbiO	ATPase component CbiO of energizing module of cobalt ECF transporter	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CbiQ	Transmembrane component CbiQ of energizing module of cobalt ECF transporter	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	CbiN	Additional substrate-specific component CbiN of cobalt ECF transporter	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	NiCoT	HoxN/HupN/NixA family cobalt transporter	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalt uptake	B12
B12 Cobalamin HMP	ChlI	ChlI component of cobalt chelatase involved in B12 biosynthesis	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	ChlD	ChlD component of cobalt chelatase involved in B12 biosynthesis	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CobN	Aerobic cobaltochelatase CobN subunit (EC 6.6.1.2)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiK	Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiL	Cobalt-precorrin-2 C(20)-methyltransferase (EC 2.1.1.151)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiH	Cobalt-precorrin-3 C(17)-methyltransferase (EC 2.1.1.272)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiF	Cobalt-precorrin-4 C(11)-methyltransferase (EC 2.1.1.271)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiD	Cobalt-precorrin-5B (C1)-methyltransferase (EC 2.1.1.195)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiG	Cobalt-precorrin 5A hydrolase (EC 3.7.1.12)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiJ	Cobalt-precorrin-6A reductase (EC 1.3.1.106)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiT	Cobalt-precorrin-6B C15-methyltransferase [decarboxylating] (EC 2.1.1.196)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiE	Cobalt-precorrin-7 (C5)-methyltransferase (EC 2.1.1.289)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiC	Cobalt-precorrin-8 methylmutase (EC 5.4.99.60)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
B12 Cobalamin HMP	CbiA	Cobyrinic acid a,c-diamide synthetase (EC 6.3.5.11)	Vitamins, cofactors and micronutrients metabolism	Vitamin B12 metabolism	Cobalamin biosynthesis	B12
