subsystem	short_name	long_name
N-acetylglucosamine utilization HMP	ChiF2	Predicted chitobiose ABC transporter, permease protein 1
N-acetylglucosamine utilization HMP	ChiG2	Predicted chitobiose ABC transporter, permease protein 2
N-acetylglucosamine utilization HMP	ChbD	(GlcNAc)2 ABC transporter, periplasmic substrate-binding protein
N-acetylglucosamine utilization HMP	ChbE	(GlcNAc)2 ABC transporter, permease component 1
N-acetylglucosamine utilization HMP	ChbF	(GlcNAc)2 ABC transporter, permease component 2
N-acetylglucosamine utilization HMP	ChbG	(GlcNAc)2 ABC transporter, ATP-binding component 1
N-acetylglucosamine utilization HMP	ChbH	(GlcNAc)2 ABC transporter, ATP-binding component 2
N-acetylglucosamine utilization HMP	ChbA	PTS system, N,N'-diacetylchitobiose-specific IIA component (EC 2.7.1.69)
N-acetylglucosamine utilization HMP	ChbB	PTS system, N,N'-diacetylchitobiose-specific IIB component (EC 2.7.1.69)
N-acetylglucosamine utilization HMP	ChbC	PTS system, N,N'-diacetylchitobiose-specific IIC component (EC 2.7.1.69)
N-acetylglucosamine utilization HMP	ChbP	N,N'-diacetylchitobiose phosphorylase (EC 2.4.1.280)
N-acetylglucosamine utilization HMP	ChbPG	N,N'-diacetylchitobiose-specific 6-phospho-beta-glucosidase (EC 3.2.1.86)
N-acetylglucosamine utilization HMP	BglA	Glucosaminyl-1,4-glucosamine-6-phosphate hydrolase
N-acetylglucosamine utilization HMP	GpdK	Glucosamine kinase GpsK (EC 2.7.1.8)
N-acetylglucosamine utilization HMP	NagR2	Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family
N-acetylglucosamine utilization HMP	NagR3	Predicted antiterminator of N-acetylglucosamine operon, BglG family
N-acetylglucosamine utilization HMP	NagR4	N-acetylglucosamine-6P-responsive transcriptional repressor NagC, ROK family
N-acetylglucosamine utilization HMP	LnbR	Transciptional regulator of lacto-N-biose and galacto-N-biose utilization, ROK family
N-acetylglucosamine utilization HMP	Cbp	Chitin binding protein
N-acetylglucosamine utilization HMP	CdxA	Chitodextrinase (EC 3.2.1.202)
N-acetylglucosamine utilization HMP	ChiA	Chitinase (EC 3.2.1.14)
N-acetylglucosamine utilization HMP	YdjC	N,N'-diacetylchitobiose utilization operon protein YdjC
N-acetylglucosamine utilization HMP	ChbR	N,N'-diacetylchitobiose-specific regulator ChbR, AraC family
N-acetylglucosamine utilization HMP	NagK5	Predicted bifunctional N-acetylmuramic acid and N-acetylglucosamine kinase
N-acetylglucosamine utilization HMP	ChiAA	Chitinase A (EC 3.2.1.14)
N-acetylglucosamine utilization HMP	ChiB	Chitinase B (EC 3.2.1.14)
N-acetylglucosamine utilization HMP	ChiC	Chitinase C (EC 3.2.1.14)
N-acetylglucosamine utilization HMP	ChiD	Chitinase D (EC 3.2.1.14)
N-acetylglucosamine utilization HMP	NagK6	Predicted N-acetylgalactosamine and N-acetylglucosamine kinase, ROK family (EC 2.7.1.157)(EC 2.7.1.59)
N-acetylglucosamine utilization HMP	Man20	Putative N-glycan beta-N-acetylglucosaminidase (GH20)
Ribose utilization HMP	RbsD	D-ribose pyranase (EC 5.4.99.62)
Ribose utilization HMP	RbsK	Ribokinase (EC 2.7.1.15)
Ribose utilization HMP	RbsA	Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)
Ribose utilization HMP	RbsB	Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)
Ribose utilization HMP	RbsC	Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)
Ribose utilization HMP	RbsU	Putative ribose uptake protein RbsU, GRP transporter family (TC 2.A.7.5)
Ribose utilization HMP	RbsT	Predicted ribose permease, FHS family
Ribose utilization HMP	RusT	D-ribose transporter, DMT family
Ribose utilization HMP	RbsP	Predicted ribose-specific PTS system, IIBC components
Ribose utilization HMP	RbsR	Ribose operon repressor
Ribose utilization HMP	RusR	Predicted transcriptional activator of D-ribose utilization operon
Sialic acids utilization HMP	NanA	N-acetylneuraminate lyase (EC 4.1.3.3)
Sialic acids utilization HMP	NanA2	Predicted N-acetylneuraminate lyase, DUF4127 family
Sialic acids utilization HMP	NanE1	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)
Sialic acids utilization HMP	NanE2	N-acylglucosamine 2-epimerase (EC 5.1.3.8)
Sialic acids utilization HMP	NagA	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
Sialic acids utilization HMP	NagA2	predicted N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
Sialic acids utilization HMP	NagB	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)
Sialic acids utilization HMP	NanT1	Sialic acid transporter (permease) NanT
Sialic acids utilization HMP	NanT2	Predicted N-acetyl-neuraminate transporter, MFS family
Sialic acids utilization HMP	NanT3	Predicted sialic acid transporter
Sialic acids utilization HMP	NanB	Putative sialic acid ABC transporter, periplasmic protein
Sialic acids utilization HMP	NanF	Putative sialic acid ABC transporter, permease protein
Sialic acids utilization HMP	NanD	Putative sialic acid ABC transporter, ATP-binding protein
Sialic acids utilization HMP	NanX1	ABC transporter, predicted N-acetylneuraminate transport system permease protein 1
Sialic acids utilization HMP	NanX2	ABC transporter, predicted N-acetylneuraminate transport system permease protein 2
Sialic acids utilization HMP	NanY	ABC transporter, predicted N-acetylneuraminate-binding protein
Sialic acids utilization HMP	NanZ	ABC transporter, predicted N-acetylneuraminate transport system ATP-binding protein
Sialic acids utilization HMP	TRAPl_nan	TRAP-type transport system, large permease component, predicted N-acetylneuraminate transporter
Sialic acids utilization HMP	TRAPs_nan	TRAP-type transport system, small permease component, predicted N-acetylneuraminate transporter
Sialic acids utilization HMP	TRAPp_nan	TRAP-type transport system, periplasmic component, predicted N-acetylneuraminate-binding protein
Sialic acids utilization HMP	NanH1	Alpha-2,3/6-sialidase (GH33)
Sialic acids utilization HMP	NanK	N-acetylmannosamine kinase (EC 2.7.1.60)
Sialic acids utilization HMP	SiaHI	Exo-alpha-sialidase SiaHI (EC 3.2.1.18)
Sialic acids utilization HMP	NanH	Sialidase (EC 3.2.1.18)
Sialic acids utilization HMP	NanH3	Putative sialidase (EC 3.2.1.18), GH33 family
Sialic acids utilization HMP	ManX	Putative N-acetylmannosamine ABC transporter, periplasmic protein
Sialic acids utilization HMP	ManY	Putative N-acetylmannosamine ABC transporter, permease protein 1
Sialic acids utilization HMP	ManZ	Putative N-acetylmannosamine ABC transporter, permease protein 2
Sialic acids utilization HMP	ManTb	PTS system, N-acetylmannosamine-specific IIB component (EC 2.7.1.69)
Sialic acids utilization HMP	ManTc	PTS system, N-acetylmannosamine-specific IIC component (EC 2.7.1.69)
Sialic acids utilization HMP	ManTa	PTS system, N-acetylmannosamine-specific IIA component (EC 2.7.1.69)
Sialic acids utilization HMP	NanM	N-acetylneuraminate epimerase (EC 5.1.3.24)
Sialic acids utilization HMP	YjgK	Putative sugar isomerase involved in processing of exogenous sialic acid
Sialic acids utilization HMP	RokA	N-acetylglucosamine kinase, glucokinase-like (EC 2.7.1.59)
Sialic acids utilization HMP	SusC_nan	SusC, outer membrane protein involved in sialic acid binding
Sialic acids utilization HMP	SusD_nan	SusD, outer membrane protein involved in sialic acid binding
Sialic acids utilization HMP	NanR1	Transcriptional regulator NanR
Sialic acids utilization HMP	NanR2	Putative N-acetylglucosamine repressor of sialic acid catabolism, ROK family
Sialic acids utilization HMP	NanR3	Transcriptional regulator of sialic acid metabolism, GntR family
Sialic acids utilization HMP	NanR4	Transcriptional regulator of sialic acid utilization, AraC family
Sialic acids utilization HMP	NanR5	Transcriptional regulator of sialic acid utilization, LacI family
Sialic acids utilization HMP	NanR6	Predicted N-acetylmannosamine operon antiterminator, BglG family
Sialic acids utilization HMP	NanR7	Sialic acid utilization regulator, RpiR family
Sialic acids utilization HMP	NanS	Probable 9-O-acetyl-N-acetylneuraminic acid deacetylase
Sialic acids utilization HMP	NanC	N-acetylneuraminic acid outer membrane channel protein NanC
Sialic acids utilization HMP	ManT2d	Predicted PTS system, N-acetylmannosamine-specific IID component (EC 2.7.1.69)
Sialic acids utilization HMP	ManT2c	Predicted PTS system, N-acetylmannosamine-specific IIC component (EC 2.7.1.69)
Sialic acids utilization HMP	ManT2b	Predicted PTS system, N-acetylmannosamine-specific IIB component (EC 2.7.1.69)
Sialic acids utilization HMP	ManT2a	Predicted PTS system, N-acetylmannosamine-specific IIA component (EC 2.7.1.69)
Sialic acids utilization HMP	ManR1	Transciptional regulator of N-acetylmannosamine utilization, RpiR family
Sialic acids utilization HMP	ManR2	Transciptional regulator of N-acetylmannosamine utilization, ROK family
Sialic acids utilization HMP	NanO	2,7-anhydro-Neu5Ac oxidoreductase
Sialic acids utilization HMP	NanT4	Predicted sialic acid transporter, GPH family
Sucrose and Fructosides utilization HMP	ScrK	Fructokinase (EC 2.7.1.4)
Sucrose and Fructosides utilization HMP	ScrP	Sucrose phosphorylase (EC 2.4.1.7)
Sucrose and Fructosides utilization HMP	CscA	Sucrase (EC 3.2.1.26)
Sucrose and Fructosides utilization HMP	ScrB	Sucrose-6-phosphate hydrolase (EC 3.2.1.26)
Sucrose and Fructosides utilization HMP	BfrA	beta-fructofuranosidase (EC 3.2.1.26)
Sucrose and Fructosides utilization HMP	SacC	Levanase (EC 3.2.1.65)
Sucrose and Fructosides utilization HMP	AmyS	Amylosucrase (EC 2.4.1.4)
Sucrose and Fructosides utilization HMP	Ift	Inulin fructotransferase (DFA-I-forming)( EC:4.2.2.17 )
Sucrose and Fructosides utilization HMP	ScrAa	PTS system, sucrose-specific IIA component (EC 2.7.1.69)
Sucrose and Fructosides utilization HMP	ScrAb	PTS system, sucrose-specific IIB component (EC 2.7.1.69)
Sucrose and Fructosides utilization HMP	ScrAc	PTS system, sucrose-specific IIC component (EC 2.7.1.69)
Sucrose and Fructosides utilization HMP	ScrT2	Sucrose permease, major facilitator superfamily
Sucrose and Fructosides utilization HMP	ScrX1	Predicted sucrose ABC transporter, permease protein 1
Sucrose and Fructosides utilization HMP	ScrY1	Predicted sucrose ABC transporter, permease protein 2
Sucrose and Fructosides utilization HMP	ScrZ1	Predicted sucrose ABC transporter, substrate-binding protein
Sucrose and Fructosides utilization HMP	ScrZ2	Putative sucrose ABC transporter, substrate-binding protein
Sucrose and Fructosides utilization HMP	ScrX2	Putative sucrose ABC transporter, permease protein 1
Sucrose and Fructosides utilization HMP	ScrZ3	Sucrose ABC transporter, substrate-binding protein
Sucrose and Fructosides utilization HMP	ScrX3	Sucrose ABC transporter, permease protein 1
Sucrose and Fructosides utilization HMP	ScrY3	Sucrose ABC transporter, permease protein 2
Sucrose and Fructosides utilization HMP	BfrE	Predicted fructosides ABC transporter, permease protein BfrE
Sucrose and Fructosides utilization HMP	BfrG	Predicted fructosides ABC transporter, permease protein BfrG
Sucrose and Fructosides utilization HMP	BfrF	Predicted fructosides ABC transporter, substrate-binding protein BfrF
Sucrose and Fructosides utilization HMP	BfrH	Predicted fructosides ABC transporter, ATPase protein BfrH
Sucrose and Fructosides utilization HMP	BfrX	Predicted fructosides ABC transporter, substrate-binding protein
Sucrose and Fructosides utilization HMP	BfrY	Predicted fructosides ABC transporter, ATP-binding protein
Sucrose and Fructosides utilization HMP	BfrZ	Predicted fructosides ABC transporter, permease protein
Sucrose and Fructosides utilization HMP	BfrB	Predicted fructosides ABC transporter, substrate-binding protein BfrB
Sucrose and Fructosides utilization HMP	BfrC	Predicted fructosides ABC transporter, permease protein BfrC
Sucrose and Fructosides utilization HMP	BfrD	Predicted fructosides ABC transporter, permease protein BfrD
Sucrose and Fructosides utilization HMP	SusC_fos	SusC, outer membrane protein involved in FOS binding
Sucrose and Fructosides utilization HMP	SusD_fos	SusD, outer membrane protein involved in FOS binding
Sucrose and Fructosides utilization HMP	ScrR	Sucrose operon repressor ScrR, LacI family
Sucrose and Fructosides utilization HMP	CsrR	Sucrose specific transcriptional regulator CscR, LacI family
Sucrose and Fructosides utilization HMP	BfrR	Transcriptional regulator of FOS utilization, LacI family
Sucrose and Fructosides utilization HMP	BfrR2	Putative transcriptional regulator of fructooligosaccharide utilization, LacI-family
Sucrose and Fructosides utilization HMP	HTCS_fos	DNA-binding response regulator for FOS utilization, AraC family
Sucrose and Fructosides utilization HMP	ScrL	endo-beta-2,6-fructanase (EC 3.2.1.65)
Sucrose and Fructosides utilization HMP	Omp_fos	TonB-dependent receptor porin, involved in FOS binding
Sucrose and Fructosides utilization HMP	ScrY	Sucrose porin ScrY
Sucrose and Fructosides utilization HMP	ScrE	Sucrose ABC transporter, substrate binding periplasmic protein ScrE
Sucrose and Fructosides utilization HMP	ScrF	Sucrose ABC transporter, permease protein ScrE
Sucrose and Fructosides utilization HMP	ScrG	Sucrose ABC transporter, permease protein ScrG
Sucrose and Fructosides utilization HMP	ScrM	Sucrose ABC transporter, ATP-binding protein ScrM
Sucrose and Fructosides utilization HMP	ScrT3	Predicted sucrose permease, MFS family, FucP subfamily
Sucrose and Fructosides utilization HMP	Omp_scr	Predicted sucrose-specific TonB-dependent receptor
Sucrose and Fructosides utilization HMP	ScrT4	Predicted sucrose permease, GPH family
Sucrose and Fructosides utilization HMP	Suh	Sucrose hydrolase (EC 3.2.1.48)
Sucrose and Fructosides utilization HMP	SPP	Sucrose 6F-phosphate phosphorylase (EC 2.4.1.329)
Sucrose and Fructosides utilization HMP	SK	Novel ATP-dependent sucrose kinase
Xylose and xylosides utilization HMP	XylA	Xylose isomerase (EC 5.3.1.5)
Xylose and xylosides utilization HMP	XylA2	predicted xylose isomerase
Xylose and xylosides utilization HMP	XylB	Xylulose kinase (EC 2.7.1.17)
Xylose and xylosides utilization HMP	XylU	D-xylose-specific 1-epimerase (mutarotase)
Xylose and xylosides utilization HMP	XynB	Beta-xylosidase (EC 3.2.1.37)
Xylose and xylosides utilization HMP	XynB2	Xylan 1,4-beta-xylosidase (EC 3.2.1.37)
Xylose and xylosides utilization HMP	RexA	Reducing end xylose-releasing exo-oligoxylanase (EC 3.2.1.156), GH8 family
Xylose and xylosides utilization HMP	Xyl_31	Putative alpha-xylosidase (GH31)
Xylose and xylosides utilization HMP	XylS	alpha-xylosidase (EC 3.2.1.177)
Xylose and xylosides utilization HMP	XynA	Endo-1,4-beta-xylanase (EC 3.2.1.8)
Xylose and xylosides utilization HMP	AguA	Xylan alpha-1,2-glucuronosidase (EC 3.2.1.131)
Xylose and xylosides utilization HMP	AxeA	Acetyl xylan esterase (EC 3.1.1.41)
Xylose and xylosides utilization HMP	XylT	D-xylose proton-symporter XylT
Xylose and xylosides utilization HMP	XylE	D-xylose proton-symporter XylE
Xylose and xylosides utilization HMP	XylP	Predicted sodium-dependent xylose transporter, SSS family
Xylose and xylosides utilization HMP	XylF	Xylose ABC transporter, periplasmic xylose-binding protein XylF
Xylose and xylosides utilization HMP	XylG	D-xylose transport ATP-binding protein XylG
Xylose and xylosides utilization HMP	XylH	Xylose ABC transporter, permease protein XylH
Xylose and xylosides utilization HMP	GxgA	Galactose/xylose/glucose ABC transport system, ATP-binding component
Xylose and xylosides utilization HMP	GxgB	Galactose/xylose/glucose ABC transport system, permease component
Xylose and xylosides utilization HMP	GxgC	Galactose/xylose/glucose ABC transport system, substrate-binding component
Xylose and xylosides utilization HMP	XynPTSa	PTS system, alpha-xyloside-specific IIA component
Xylose and xylosides utilization HMP	XynPTSb	PTS system, alpha-xyloside-specific IIB component (EC 2.7.1.69)
Xylose and xylosides utilization HMP	XynPTSd	PTS system, alpha-xyloside-specific IID component
Xylose and xylosides utilization HMP	XynPTSc	PTS system, alpha-xyloside-specific IIC component
Xylose and xylosides utilization HMP	XynT	Xyloside transporter XynT
Xylose and xylosides utilization HMP	XosA	Bifidobacterial XOS/AXOS transporter, substrate-binding protein
Xylose and xylosides utilization HMP	XosB	Bifidobacterial XOS/AXOS transporter, permease protein 1
Xylose and xylosides utilization HMP	XosC	Bifidobacterial XOS/AXOS transporter, permease protein 2
Xylose and xylosides utilization HMP	XynX	Predicted beta-xyloside ABC transporter, substrate-binding component
Xylose and xylosides utilization HMP	XynY	Predicted beta-xyloside ABC transporter, permease component
Xylose and xylosides utilization HMP	XynZ	Predicted beta-xyloside ABC transporter, ATP-binding component
Xylose and xylosides utilization HMP	XynU	Possible beta-xyloside ABC transporter, substrate-binding protein XynU
Xylose and xylosides utilization HMP	XynV	Possible beta-xyloside ABC transporter, permease component XynV
Xylose and xylosides utilization HMP	XynW	Possible beta-xyloside ABC transporter, permease component XynW
Xylose and xylosides utilization HMP	SusC_xos	SusC, outer membrane protein involved in XOS utilization
Xylose and xylosides utilization HMP	SusD_xos	SusD, outer membrane protein involved in XOS utilization
Xylose and xylosides utilization HMP	AxuA	Predicted alpha-xyloside ABC transporter, substrate-binding component
Xylose and xylosides utilization HMP	AxuB	Predicted alpha-xyloside ABC transporter, permease component 1
Xylose and xylosides utilization HMP	AxuC	Predicted alpha-xyloside ABC transporter, permease component 2
Xylose and xylosides utilization HMP	XylR	Xylose activator XylR (AraC family)
Xylose and xylosides utilization HMP	XylR2	Xylose-responsive transcription regulator, ROK family
Xylose and xylosides utilization HMP	XylR3	Predicted xylose-responsive transcription regulator, LacI family
Xylose and xylosides utilization HMP	XylR4	Predicted regulator of xylose utilization, NrtR family
Xylose and xylosides utilization HMP	HTCS_xos	Hybrid two-component system (HTCS) regulator for Xylan and XOS utilization PUL
Xylose and xylosides utilization HMP	YicJ	Probable alpha-xyloside uptake permease YicJ
Xylose and xylosides utilization HMP	XylP2	Isoprimeverose transporter XylP
Ascorbate utilization HMP	DlgD	3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)
Ascorbate utilization HMP	SgbH	3-keto-L-gulonate 6-phosphate decarboxylase (EC 4.1.1.85)
Ascorbate utilization HMP	SgbE	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)
Ascorbate utilization HMP	SgbU	L-xylulose 5-phosphate 3-epimerase (EC 5.1.3.22)
Ascorbate utilization HMP	LyxK	L-xylulose/3-keto-L-gulonate kinase (EC 2.7.1.-)
Ascorbate utilization HMP	UlaD	3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85)
Ascorbate utilization HMP	UlaC	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)
Ascorbate utilization HMP	UlaB	Ascorbate-specific PTS system, EIIB component (EC 2.7.1.69)
Ascorbate utilization HMP	UlaA	Ascorbate-specific PTS system, EIIC component
Ascorbate utilization HMP	UlaE	L-ribulose-5-phosphate 3-epimerase UlaE (EC 5.1.3.22)
Ascorbate utilization HMP	UlaG	Probable L-ascorbate-6-phosphate lactonase UlaG (EC 3.1.1.-)
Ascorbate utilization HMP	UlaF	L-ribulose-5-phosphate 4-epimerase involved in ascorbate utilization (EC 5.1.3.4)
Ascorbate utilization HMP	UlaR	Ascorbate utilization transcriptional regulator UlaR, HTH-type
Ascorbate utilization HMP	SgaR	Transcriptional antiterminator with PTS regulation domain for ascorbate utilization genes SgaR
Ascorbate utilization HMP	AscK	Putative ascorbate kinase
Ascorbate utilization HMP	AscG	Putative L-ascorbate-6-phosphate lactonase (EC 3.1.1.-)
Ascorbate utilization HMP	AscT	Putative ascorbate MFS transporter (TC 2.A.1)
Ascorbate utilization HMP	AscR	Putative transcriptional regulator of ascorbate utilization (DeoR family)
Ascorbate utilization HMP	AscT2	Putative ascorbate MFS transporter 2 (TC 2.A.1)
Ascorbate utilization HMP	SgbH2	Predicted non-orthologous type of 3-keto-L-gulonate 6-phosphate decarboxylase (EC 4.1.1.85)
Ascorbate utilization HMP	LyxK2	L-xylulokinase (EC 2.7.1.53)
Ascorbate utilization HMP	YiaN	2,3-diketo-L-gulonate TRAP transporter large permease protein yiaN
Ascorbate utilization HMP	YiaO	2,3-diketo-L-gulonate-binding periplasmic protein yiaO precursor
Ascorbate utilization HMP	YiaM	2,3-diketo-L-gulonate TRAP transporter small permease protein yiaM
Ascorbate utilization HMP	DkgT	Predicted 2,3-diketo-L-gulonate MFS transporter
Ascorbate utilization HMP	YiaL	DUF386 domain-containing protein YiaL, putative anomerase involved in 2,3-diketo-L-gulonate utilization
Ascorbate utilization HMP	YiaJ	L-ascorbate-responsive transcriptional regulator PlaR of plant utilization, IclR family
Galacto-N-biose and lacto-N-biose utilization HMP	LnpA	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase (EC 2.4.1.211)
Galacto-N-biose and lacto-N-biose utilization HMP	LnpB	N-acetylhexosamine 1-kinase (EC 2.7.1.162)
Galacto-N-biose and lacto-N-biose utilization HMP	LnpC2	UTP---hexose-1-phosphate uridylyltransferase (EC 2.7.7.10)
Galacto-N-biose and lacto-N-biose utilization HMP	LnpD	UDP-hexose 4-epimerase (EC 5.1.3.2)
Galacto-N-biose and lacto-N-biose utilization HMP	LnbA	Predicted galacto-N-biose, lacto-N-biose ABC transporter, periplasmic substrate-binding protein
Galacto-N-biose and lacto-N-biose utilization HMP	LnbB	Predicted galacto-N-biose, lacto-N-biose ABC transporter, permease component 1
Galacto-N-biose and lacto-N-biose utilization HMP	LnbC	Predicted galacto-N-biose, lacto-N-biose ABC transporter, permease component 2
Galacto-N-biose and lacto-N-biose utilization HMP	LnbD	Predicted galacto-N-biose, lacto-N-biose ABC transporter, ATPase component
Galacto-N-biose and lacto-N-biose utilization HMP	GnbG	Beta-1,3-galactosidase, specific for lacto-N-biose and galacto-N-biose (GH35)
Galacto-N-biose and lacto-N-biose utilization HMP	GnbC	PTS system, GNB- and LNB-specific IIC component (EC 2.7.1.69)
Galacto-N-biose and lacto-N-biose utilization HMP	GnbD	PTS system, GNB- and LNB-specific IID component (EC 2.7.1.69)
Galacto-N-biose and lacto-N-biose utilization HMP	GnbB	PTS system, GNB- and LNB-specific IIB component (EC 2.7.1.69)
Galacto-N-biose and lacto-N-biose utilization HMP	GngA	PTS system, GNB- and LNB-specific IIA component (EC 2.7.1.69)
Galacto-N-biose and lacto-N-biose utilization HMP	LnbX	Extracellular lacto-N-biosidase (GH136)
Galacto-N-biose and lacto-N-biose utilization HMP	LnbY	Putative lacto-N-biosidase chaperone
Galacto-N-biose and lacto-N-biose utilization HMP	GnbX	Endo-alpha-N-acetylgalactosaminidase (EC 3.2.1.97)
Galacto-N-biose and lacto-N-biose utilization HMP	EngBF	Extracellular endo-alpha-N-acetylgalactosaminidase (GH101)
D-galactonate utilization HMP	DgoD	Galactonate dehydratase (EC 4.2.1.6)
D-galactonate utilization HMP	DgoK	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)
D-galactonate utilization HMP	DgoA	2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)
D-galactonate utilization HMP	DgoT	D-galactonate transporter
D-galactonate utilization HMP	DgoE	Predicted D-galactonate ABC transporter, substrate-binding component
D-galactonate utilization HMP	DgoF	Predicted D-galactonate ABC transporter, permease component 1
D-galactonate utilization HMP	DgoG	Predicted D-galactonate ABC transporter, permease component 2
D-galactonate utilization HMP	DgoR1	D-Galactonate repressor DgoR
D-galactonate utilization HMP	DgoR2	D-galactonate regulator, IclR family
D-galactonate utilization HMP	DgoT2	Uncharacterized MFS-type transporter from D-galactonate utilization operon
D-galactonate utilization HMP	DgoX	Uncharacterized dehydrogenase from D-galactonate utilization operon
Allose utilization HMP	AlsK	D-allose kinase (EC 2.7.1.55)
Allose utilization HMP	AlsI	D-allose-6-phosphate isomerase (EC 5.3.1.-)
Allose utilization HMP	AlsE	D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-)
Allose utilization HMP	AlsA	D-allose ABC transporter, ATP-binding protein
Allose utilization HMP	AlsB	D-allose ABC transporter, substrate-binding protein
Allose utilization HMP	AlsC	D-allose ABC transporter, permease protein
Allose utilization HMP	AlsGa	PTS system, D-allose/D-ribose-specific IIA component
Allose utilization HMP	AlsGb	PTS system, D-allose/D-ribose-specific IIB component (EC 2.7.1.69)
Allose utilization HMP	AlsGc	PTS system, D-allose/D-ribose-specific IIC component
Allose utilization HMP	AlsG2a	PTS system, D-allose-specific IIA component (EC 2.7.1.69)
Allose utilization HMP	AlsG2b	PTS system, D-allose-specific IIB component (EC 2.7.1.69)
Allose utilization HMP	AlsG2c	PTS system, D-allose-specific IIC component (EC 2.7.1.69)
Allose utilization HMP	AlsT	Allose utilization antiterminator, BglG family
Allose utilization HMP	AlsR	Transcriptional regulator of D-allose utilization, RpiR family
Allose utilization HMP	AlsR2	Transcriptional regulator of D-allose utilization, DeoR family
Allose utilization HMP	AlsR3	Transcriptional regulator of D-allose utilization, LacI family
Fructose-asparagine utilization HMP	FraA	N-(1-deoxy-D-fructos-1-yl)-L-aspartate transporter FraA
Fructose-asparagine utilization HMP	FraD	N-(1-deoxy-D-fructos-1-yl)-L-aspartate kinase FraD
Fructose-asparagine utilization HMP	FraB	N-(1-deoxy-6-phospho-D-fructos-1-yl)-L-aspartate deglycase FraB
Fructose-asparagine utilization HMP	FraR	Fructose-asparagine utilization regulator FraR, GntR family
Fructose-asparagine utilization HMP	FraE	N-(1-deoxy-D-fructos-1-yl)-L-asparaginase FraE
Fructose-asparagine utilization HMP	FraC	Uncharacterized sugar epimerase related to fructoselysine 3-epimerase
Fructose-asparagine utilization HMP	FraTd	PTS system, fructose-asparagine-specific IID component (EC 2.7.1.69)
Fructose-asparagine utilization HMP	FraTc	PTS system, fructose-asparagine-specific IIC component (EC 2.7.1.69)
Fructose-asparagine utilization HMP	FraTb	PTS system, fructose-asparagine-specific IIB component (EC 2.7.1.69)
Fructose-asparagine utilization HMP	FraTa	PTS system, fructose-asparagine-specific IIA component (EC 2.7.1.69)
Fructoselysine and Glucoselysine utilization HMP	FrlB	Fructoselysine 6-phosphate deglycase (EC 3.5.-.-)
Fructoselysine and Glucoselysine utilization HMP	FrlD	Fructoselysine 6-kinase (EC 2.7.1.218)
Fructoselysine and Glucoselysine utilization HMP	FrlC	Fructoselysine 3-epimerase (EC 5.1.3.41)
Fructoselysine and Glucoselysine utilization HMP	FrlA	Fructoselysine/psicoselysine transporter FrlA
Fructoselysine and Glucoselysine utilization HMP	FrlT2	Predicted fructoselysine transporter, GltS family
Fructoselysine and Glucoselysine utilization HMP	FrlT3	Predicted fructoselysine transporter, MATE family
Fructoselysine and Glucoselysine utilization HMP	FrlT4	Predicted fructoselysine transporter, ArcD family
Fructoselysine and Glucoselysine utilization HMP	GfrF	Glucoselysine-6-phosphate deglycase
Fructoselysine and Glucoselysine utilization HMP	GfrD	PTS system, fructoselysine/glucoselysine-specific IID component
Fructoselysine and Glucoselysine utilization HMP	GfrB	PTS system, fructoselysine/glucoselysine-specific IIB component (EC 2.7.1.69)
Fructoselysine and Glucoselysine utilization HMP	GfrC	PTS system, fructoselysine/glucoselysine-specific IIC component
Fructoselysine and Glucoselysine utilization HMP	GfrA	PTS system, fructoselysine/glucoselysine-specific IIA component
Fructoselysine and Glucoselysine utilization HMP	FrlO	Fructoselysine ABC transporter, substrate-binding protein
Fructoselysine and Glucoselysine utilization HMP	FrlN	Fructoselysine ABC transporter, permease protein 1
Fructoselysine and Glucoselysine utilization HMP	FrlM	Fructoselysine ABC transporter, permease protein 2
Fructoselysine and Glucoselysine utilization HMP	FrlQ	Fructoselysine ABC transporter, ATP-binding protein
Fructoselysine and Glucoselysine utilization HMP	FrlX	Predicted fructoselysine ABC transporter, substrate-binding protein
Fructoselysine and Glucoselysine utilization HMP	FrlU	Predicted fructoselysine ABC transporter, permease protein 1
Fructoselysine and Glucoselysine utilization HMP	FrlV	Predicted fructoselysine ABC transporter, permease protein 2
Fructoselysine and Glucoselysine utilization HMP	FrlW	Predicted fructoselysine ABC transporter, ATP-binding protein
Fructoselysine and Glucoselysine utilization HMP	FrlR	Transcriptional regulator of fructoselysine utilization, GntR family
